;accumulated_codon_frequencies;padj;log2FoldChange.shrunk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SCRN3;0.153110048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF280D;0.153061224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C18orf63;0.153061224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EFCAB13;0.152977413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF892;0.152963671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DYNC2H1;0.152954809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUL2;0.152941176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MEI4;0.152849741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GIMAP7;0.15282392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MRE11;0.152716593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNAJB14;0.152631579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SDAD1;0.152616279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAGE12C;0.152542373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAGE12E;0.152542373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAGE12F;0.152542373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAGE12G;0.152542373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAGE12H;0.152542373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAGE1;0.152542373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAGE12D;0.152542373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ODAPH;0.152542373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAD17;0.152492669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CFAP206;0.152487961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FKBP7;0.152466368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC70;0.152466368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOL10;0.152394775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGS1;0.152380952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KNL1;0.152368758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYOT;0.152304609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLCB4;0.152301255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH3GL3;0.152298851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CDC73;0.152255639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KIAA1328;0.152249135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TGS1;0.152224824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DZIP3;0.152191894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C1orf105;0.152173913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMMD8;0.152173913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATG5;0.152173913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ODAD2;0.15215311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STAU2;0.152133581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF221;0.15210356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RO60;0.152091255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUL4B;0.152078775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTPN2;0.152061856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBS5;0.152046784;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NTS;0.152046784;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UBE2G1;0.152046784;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AHCTF1;0.15202109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTUS1;0.152013147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM169A;0.152011923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF561;0.151950719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CRNKL1;0.151943463;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIOK3;0.151923077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STX8;0.151898734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TCEANC;0.151832461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DYNC2I1;0.151827554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
XAGE3;0.151785714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POLR2M;0.151761518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LZTFL1;0.151750973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACADM;0.151658768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMPO;0.151648352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CTR9;0.151618399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ICE2;0.151576806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TTC3;0.151530109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CSTA;0.151515152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPATA45;0.151515152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CXCL10;0.151515152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CFAP97D1;0.151515152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMKR1;0.151515152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF654;0.15146147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC14;0.151445087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RLF;0.151436031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GALNT3;0.151419558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RPP38;0.151408451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRC1;0.15136876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF322;0.151364764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RHEB;0.151351351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNAJC1;0.151351351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PPIP5K2;0.151267375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAB23;0.151260504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MLANA;0.151260504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EXOC6;0.15125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IWS1;0.151219512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZZZ3;0.151219512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MPHOSPH9;0.151182432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOL7;0.151162791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CDC26;0.151162791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MLLT3;0.151142355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PMS1;0.151125402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FKBP3;0.151111111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STK26;0.151079137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KIAA0408;0.151079137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CFHR3;0.151057402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF528;0.151033386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UBXN7;0.151020408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRMT5;0.150980392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RPS3A;0.150943396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAG2;0.150943396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UFL1;0.150943396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLN;0.150943396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TNMD;0.150943396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAB39L;0.150887574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MRPL13;0.150837989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERLEC1;0.150826446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EFCAB7;0.150793651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BEX1;0.150793651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YES1;0.150735294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPSF2;0.150702427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RPL26;0.150684932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARHGAP28;0.150684932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF140;0.150655022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NT5C3A;0.15060241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARHGEF6;0.150579151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NECAB1;0.150568182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VPS4B;0.150561798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C12orf60;0.150406504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF30;0.1504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF684;0.150395778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CDCA2;0.150390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARL9;0.15037594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OSBPL1A;0.150368034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TXLNB;0.150364964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF845;0.150360453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CDRT4;0.150326797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DDX53;0.150316456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF816;0.150306748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VBP1;0.150259067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C5orf34;0.150234742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF649;0.150197628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ASPH;0.150197628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MRPL19;0.150170648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIMP1;0.150159744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TCERG1;0.150136488;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STK17B;0.150134048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IFIT2;0.150105708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RANBP2;0.150077519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PPP4R3C;0.150060024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PNRC2;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RBM28;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BPGM;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HYLS1;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM216B;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CMC2;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF565;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEFB127;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSKIP;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPINT4;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZRANB3;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZBTB10;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETDC;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALB2;0.149957877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OXR1;0.149940968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOS1;0.149925037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLUL1;0.149892934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF780B;0.149880096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HPF1;0.149855908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNAH14;0.149848419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSWIM2;0.149842271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RPF2;0.149837134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LYSMD3;0.149837134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZSCAN4;0.149769585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LRRFIP1;0.149765991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGR3;0.149700599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SDHAF2;0.149700599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IFNG;0.149700599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM111B;0.149659864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAGE1;0.149659864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DHX36;0.149653122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF35;0.149621212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARAP2;0.149560117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAG5;0.149553571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MRPS33;0.14953271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TCIM;0.14953271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOSPD1;0.14953271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WWP1;0.149512459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GTPBP10;0.149484536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C2orf80;0.149484536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RBM48;0.149456522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYH15;0.149455112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNRPF;0.149425287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPINK9;0.149425287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IRAK1BP1;0.149425287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TTC29;0.14940239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NCBP2L;0.149350649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANKMY2;0.149321267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF485;0.149321267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C18orf21;0.149321267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SETD2;0.149317739;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SESTD1;0.149210904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SULT1E1;0.149152542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POF1B;0.149152542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF468;0.149139579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCLO;0.149134746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RPL21;0.149068323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USP47;0.149068323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF24;0.149051491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NFIL3;0.149028078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TEX11;0.149028078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USP15;0.149003148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USP53;0.148975791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIAL1;0.14893617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEFB128;0.14893617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STX7;0.148854962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRSF12;0.148854962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FANCM;0.148853099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF28;0.148817803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRP72;0.148809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RNF32;0.148760331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC93;0.148734177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPRE2;0.148734177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POLE3;0.148648649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACTR6;0.14861461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNW1;0.148601399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIMM21;0.148594378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF614;0.148464164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NBPF9;0.148462354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLFN12L;0.148450245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
APLF;0.1484375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SENP7;0.148430067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPART;0.148425787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FBXO9;0.148401826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGK3;0.148387097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANGPTL1;0.148373984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF530;0.148333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAPSL;0.148325359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IFNE;0.148325359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NEFM;0.148309706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KIAA0232;0.148280802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLPX;0.148264984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNAJA1;0.148241206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERPINB10;0.148241206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM114A2;0.148221344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLF2;0.148211244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPB41;0.148195876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAB5A;0.148148148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TEX43;0.148148148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GGCT;0.148148148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAB14;0.148148148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POSTN;0.148148148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TGDS;0.148148148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPESP1;0.148148148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TEX35;0.148148148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF300;0.148148148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEBPZOS;0.148148148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CABCOCO1;0.148148148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EDDM13;0.148148148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NSD3;0.148122392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF81;0.148036254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SULT6B1;0.148026316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANP32A;0.148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PABIR3;0.147959184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BACH1;0.147896879;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PPP2R5A;0.147843943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCNG2;0.147826087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RBM26;0.147808359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYZAP;0.147751606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANKAR;0.147735192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IL22RA2;0.147727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WFDC11;0.147727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF600;0.147727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USP48;0.147683398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CSTF3;0.147632312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC30A9;0.147627417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GPX8;0.147619048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SH3GLB1;0.147540984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF215;0.147540984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TTLL7;0.147522523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STX2;0.147482014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RB1;0.147470398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF41;0.147435897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LRRC53;0.147435897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COPS4;0.147420147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DARS1;0.147410359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NBPF8;0.147401909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPATA16;0.147368421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LCORL;0.147335423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLK4;0.147302905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RPL22;0.147286822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRIM1;0.147268409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USP44;0.147265077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMNTD1;0.147239264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DZIP1;0.147232038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CRTAM;0.147208122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BLZF1;0.14713217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRNT1;0.147126437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERO1A;0.147121535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABCD2;0.147098516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAD54B;0.147091109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNX24;0.147058824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LTV1;0.147058824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STK31;0.147058824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FABP5;0.147058824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARL6IP1;0.147058824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZFP1;0.147058824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CFAP141;0.147058824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
METTL15;0.147058824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC3;0.147058824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUSAP1;0.147058824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOS2;0.147036759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
